2015/04/06 02:13:42 [router.go:845] [D] | GET        | /                                        | 45.0026ms        | match      | /                                        | 
2015/04/06 02:13:45 [router.go:845] [D] | GET        | /brandshow                               | 54.0031ms        | match      | /brandshow                               | 
2015/04/06 02:13:47 [router.go:845] [D] | GET        | /                                        | 57.0033ms        | match      | /                                        | 
2015/04/06 02:13:50 [router.go:845] [D] | GET        | /brandshow                               | 65.0037ms        | match      | /brandshow                               | 
2015/04/06 02:13:53 [router.go:845] [D] | GET        | /                                        | 61.0035ms        | match      | /                                        | 
2015/04/06 02:13:55 [router.go:845] [D] | GET        | /brandshow                               | 64.0036ms        | match      | /brandshow                               | 
2015/04/06 02:14:18 [router.go:845] [D] | GET        | /                                        | 62.0036ms        | match      | /                                        | 
2015/04/06 02:14:20 [router.go:845] [D] | GET        | /brandshow                               | 59.0034ms        | match      | /brandshow                               | 
2015/04/06 02:14:21 [router.go:845] [D] | GET        | /                                        | 57.0032ms        | match      | /                                        | 
2015/04/06 02:14:23 [router.go:845] [D] | GET        | /brandshow                               | 169.0097ms       | match      | /brandshow                               | 
2015/04/06 02:14:24 [router.go:845] [D] | GET        | /                                        | 197.0113ms       | match      | /                                        | 
2015/04/06 02:14:25 [router.go:845] [D] | GET        | /brandshow                               | 68.0039ms        | match      | /brandshow                               | 
2015/04/06 02:14:32 [router.go:845] [D] | GET        | /                                        | 48.0027ms        | match      | /                                        | 
2015/04/06 02:15:03 [router.go:845] [D] | GET        | /brandshow                               | 106.0061ms       | match      | /brandshow                               | 
2015/04/06 02:20:46 [log.go:108] [D] Loading language: en-US 
2015/04/06 02:20:46 [log.go:108] [D] Loading language: zh-CN 
2015/04/06 02:20:46 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 02:20:46 [app.go:96] [I] http server Running on :8080
2015/04/06 02:21:44 [log.go:108] [D] Loading language: en-US 
2015/04/06 02:21:44 [log.go:108] [D] Loading language: zh-CN 
2015/04/06 02:21:44 [main.go:16] [I] techbase 1.1.14.1105 
2015/04/06 02:21:44 [app.go:96] [I] http server Running on :8080
2015/04/06 02:21:50 [router.go:845] [D] | GET        | /brandshow                               | 49.0028ms        | match      | /brandshow                               | 
2015/04/06 02:21:53 [router.go:845] [D] | GET        | /home                                    | 13.0008ms        | match      | /home                                    | 
2015/04/06 02:21:53 [router.go:845] [D] | GET        | /img/brand/1.png                         | 12.0007ms        | notmatch   | 
2015/04/06 02:21:53 [router.go:845] [D] | GET        | /img/brand/4.png                         | 1ms              | notmatch   | 
2015/04/06 02:21:53 [router.go:845] [D] | GET        | /img/brand/3.png                         | 3.0002ms         | notmatch   | 
2015/04/06 02:21:53 [router.go:845] [D] | GET        | /img/brand/2.png                         | 14.0008ms        | notmatch   | 
